name,email,password,student_id
Nguyễn Văn A,nguyenvana@example.com,123456,a001
Trần Thị B,tranthib@example.com,123456,a002
Lê Văn C,levanc@example.com,123456,a003
Phạm Thị D,phamthid@example.com,123456,a004
Hoàng Văn E,hoangvane@example.com,123456,a005
Vũ Thị F,vuthif@example.com,123456,a006
Đặng Văn G,dangvang@example.com,123456,a007
Ngô Thị H,ngothih@example.com,123456,a008
Bùi Văn I,buivani@example.com,123456,a009
Đỗ Thị J,dothij@example.com,123456,a010
Trịnh Văn K,trinhvank@example.com,123456,a011
Lương Thị L,luongthil@example.com,123456,a012
Mai Văn M,maivanm@example.com,123456,a013
Châu Thị N,chauthin@example.com,123456,a014
Tạ Văn O,tavano@example.com,123456,a015
Dương Thị P,duongthip@example.com,123456,a016
La Văn Q,lavaneq@example.com,123456,a017
Kiều Thị R,kieuthir@example.com,123456,a018
Tống Văn S,tongvans@example.com,123456,a019
Triệu Thị T,trieuthit@example.com,123456,a020
